id,Brand_name,Model_name,Year,Total_Price,Zero_Down_Payment,Owner,Oil,KM_on_Road,Transmission
1, Maruti , Maruti Alto ,2015,299899,6671,1st Owner,Petrol,6381,LXI Manual
2, Maruti , Maruti Celerio X,2020,660599,14695,1st Owner,Petrol,4613,ZXI OPT AMT Automatic
3, Renault , Renault TRIBER,2020,689999,15349,2nd Owner,Petrol,17396,RXZ AT Automatic
4, Maruti , Maruti Celerio,2015,359999,8008,1st Owner,Petrol,22939,LXI Manual
5, Hyundai , Hyundai i,2013,379199,8435,1st Owner,Petrol,34587,MAGNA O 1.2 Manual
6, Maruti , Maruti Wagon R ,2014,358899,7984,1st Owner,Petrol,13712,LXI Manual
7, Hyundai , Hyundai i,2012,390399,8684,1st Owner,Petrol,38910,SPORTZ 1.2 VTVT Manual
8, Renault , Renault TRIBER,2019,726499,16161,1st Owner,Petrol,7440,1.0 RXZ Manual
9, Maruti , Maruti Celerio,2016,422999,9409,2nd Owner,Petrol,9836,VXI AMT Automatic
10, Maruti , Maruti Swift Dzire,2012,461299,10261,1st Owner,Diesel,134186,VDI BS IV Manual
11, Mahindra , Mahindra XUV,2019,1683899,37457,2nd Owner,Diesel,29100,W11 (O) AT Automatic
12, KIA , KIA SONET,2020,1508299,33551,1st Owner,Diesel,10769,GTX PLUS 1.5 DCT AT 
13, Honda , Honda Amaze,2020,642299,14288,1st Owner,Petrol,11596,1.2 EMT I VTEC Manual
14, Maruti , Maruti Ritz,2014,409099,9100,1st Owner,Petrol,58849,VXI Manual
15, Maruti , Maruti Swift,2017,529299,11774,1st Owner,Petrol,33801,VXI Manual
16, Hyundai , Hyundai Creta,2019,1394499,31020,2nd Owner,Petrol,18549,1.6 SX VTVT (O) EXECUTIVE Manual
17, Renault , Renault Kwid,2021,595599,13249,1st Owner,Petrol,810,1.0 RXT Opt AT Automatic
18, Tata , Tata Tiago,2017,517599,11514,2nd Owner,Petrol,3678,XZA 1.2 REVOTRON Automatic
19, Maruti , Maruti Alto ,2016,291999,6495,1st Owner,Petrol,32750,VXI Manual
20, Maruti , Maruti Swift Dzire,2016,637299,14176,1st Owner,Diesel,47547,ZDI Manual
21, MG , MG HECTOR,2019,1736799,38634,1st Owner,Diesel,29347,SHARP 2.0 DIESEL Manual
22, Tata , Tata NEXON,2020,1049599,23348,1st Owner,Petrol,5327,XZ+ OPT PETROL Manual
23, Toyota , Toyota URBAN CRUISER,2020,1212499,26971,2nd Owner,Petrol,15580,PREMIUM DUAL TONE AT 
24, Hyundai , Hyundai Elite i,2015,502999,11189,2nd Owner,Petrol,32964,ASTA 1.2 Manual
25, Maruti , Maruti Swift Dzire,2012,423099,9412,2nd Owner,Diesel,94,VDI BS IV Manual
26, Maruti , Maruti Swift,2015,513699,11427,1st Owner,Petrol,24045,VXI Manual
27, Maruti , Maruti New  Wagon-R,2020,652899,14523,1st Owner,Petrol,11907,ZXI 1.2L AGS Automatic
28, Volkswagen , Volkswagen Vento,2014,489499,10889,1st Owner,Petrol,39841,HIGHLINE PETROL Manual
29, Maruti , Maruti Swift Dzire,2015,474299,10551,1st Owner,Petrol,53090,VXI 1.2 BS IV Manual
30, Maruti , Maruti New  Wagon-R,2019,548399,12199,1st Owner,Petrol,35273,VXI (O) 1.2L Manual
31, Maruti , Maruti Ertiga,2016,772499,17184,1st Owner,Diesel,73810,VDI SHVS Manual
32, Hyundai , Hyundai Eon,2014,312899,6960,1st Owner,Petrol,16583,SPORTZ Manual
33, Tata , Tata Harrier,2019,1651799,36743,1st Owner,Diesel,49744,XZ 2.0L Kryotec Manual
34, Renault , Renault Kwid,2019,471499,10488,1st Owner,Petrol,3615,RXT 1.0 EASY-R AT OPTION Automatic
35, Volkswagen , Volkswagen Polo,2015,518299,11529,1st Owner,Petrol,94384,GT TSI 1.2 PETROL AT Automatic
36, Honda , Honda Civic,2019,1576399,35066,1st Owner,Diesel,80920,VX DIESEL Manual
37, Hyundai , Hyundai AURA,2020,617099,13727,1st Owner,Petrol,12810,E MT 1.2 KAPPA Manual
38, Hyundai , Hyundai Xcent,2014,504499,11222,1st Owner,Petrol,61977,SX 1.2 OPT Manual
39, Hyundai , Hyundai i,2013,396099,8811,2nd Owner,Petrol,41342,ASTA 1.2 Manual
